time,AAPL,MSFT,SPY,JPM,TSLA
2019-01-02,39.48,101.12,250.18,99.31,62.024
2019-01-03,35.5475,97.4,244.21,97.11,60.072
2019-01-04,37.065,101.93,252.39,100.69,63.538
2019-01-07,36.9825,102.06,254.38,100.76,66.992
2019-01-08,37.6875,102.8,256.77,100.57,67.07
2019-01-09,38.3275,104.27,257.97,100.4,67.706
2019-01-10,38.45,103.6,258.88,100.39,68.994
2019-01-11,38.0725,102.8,258.98,99.91,69.452
2019-01-14,37.5,102.05,257.4,100.94,66.88
2019-01-15,38.2675,105.01,260.35,101.68,68.886
2019-01-16,38.735,105.38,260.98,102.5,69.21
2019-01-17,38.965,106.12,262.96,102.92,69.462
2019-01-18,39.205,107.71,266.46,104.59,60.452
2019-01-22,38.325,105.68,262.86,102.94,59.784
2019-01-23,38.48,106.71,263.41,102.68,57.518
2019-01-24,38.175,106.2,263.55,102.74,58.302
2019-01-25,39.44,107.17,265.78,103.39,59.408
2019-01-28,39.075,105.08,263.76,103.88,59.276
2019-01-29,38.67,102.94,263.41,104.17,59.492
2019-01-30,41.3125,106.38,267.58,104.41,61.754
2019-01-31,41.61,104.43,269.93,103.5,61.404
2019-02-01,41.63,102.78,270.06,103.88,62.442
2019-02-04,42.8125,105.74,271.96,104.25,62.578
2019-02-05,43.545,107.22,273.1,103.79,64.27
2019-02-06,43.56,106.03,272.74,103.74,63.444
2019-02-07,42.735,105.27,270.14,102.38,61.502
2019-02-08,42.6025,105.67,270.47,101.36,61.16
2019-02-11,42.3575,105.25,270.62,100.88,62.568
2019-02-12,42.7225,106.89,274.1,102.6,62.362
2019-02-13,42.545,106.81,274.99,103.09,61.634
2019-02-14,42.7,106.9,274.38,102.42,60.754
2019-02-15,42.605,108.22,277.37,105.55,61.576
2019-02-19,42.7325,108.17,277.85,105.18,61.128
2019-02-20,43.0075,107.15,278.41,105.69,60.512
2019-02-21,42.765,109.41,277.42,105.47,58.246
2019-02-22,43.2425,110.97,279.14,105.0,58.942
2019-02-25,43.5575,111.59,279.52,106.1,59.754
2019-02-26,43.5825,112.36,279.32,105.29,59.572
2019-02-27,43.7175,112.17,279.2,105.16,62.948
2019-02-28,43.2875,112.03,278.68,104.36,63.976
2019-03-01,43.7425,112.53,280.42,104.43,58.958
2019-03-04,43.9625,112.26,279.4,104.19,57.072
2019-03-05,43.8825,111.7,279.02,104.11,55.308
2019-03-06,43.63,111.75,277.33,103.72,55.248
2019-03-07,43.125,110.39,275.01,102.97,55.318
2019-03-08,43.2275,110.51,274.46,103.01,56.828
2019-03-11,44.725,112.83,278.44,104.35,58.184
2019-03-12,45.2275,113.62,279.49,104.04,56.672
2019-03-13,45.4275,114.5,281.34,104.39,57.792
